institution_id,institution_name,institution_created_date,researcher_id,researcher_name,researcher_comments,conference_id,conference_title,conference_date,conference_comments,registration_id,registration_fee,attendance_status
48,IST Lisbon - Campus 48,1958-08-25,1028,Dr. C28 Smith,Specialization: Biology,546,International Global Health Summit 46,2025-08-21,Venue: Tokyo,50000,208.99,Confirmed
46,Oxford - Campus 46,1853-06-30,1018,Dr. S18 Smith,Specialization: Physics,528,International Future of Tech Summit 28,2026-12-17,Venue: Online,50001,164.1,Cancelled
49,MIT - Campus 49,1924-05-05,1043,Dr. R43 Smith,Specialization: Physics,550,International Global Health Summit 50,2026-12-02,Venue: Tokyo,50002,486.92,Pending
44,Oxford - Campus 44,1933-05-01,1037,Dr. L37 Smith,Specialization: Physics,522,International Global Health Summit 22,2026-09-09,Venue: Tokyo,50003,447.69,Pending
9,Stanford - Campus 9,1934-04-30,1004,Dr. E4 Smith,Specialization: Ethics,544,International Quantum Computing Summit 44,2025-01-31,Venue: Online,50004,245.71,Cancelled
30,Stanford - Campus 30,1856-01-28,1030,Dr. E30 Smith,Specialization: AI,533,International Future of Tech Summit 33,2025-10-20,Venue: Tokyo,50005,230.15,Pending
44,Oxford - Campus 44,1933-05-01,1037,Dr. L37 Smith,Specialization: Physics,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50006,144.34,Cancelled
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,512,International Climate Change Summit 12,2025-02-06,Venue: Berlin,50007,122.35,Pending
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,510,International Future of Tech Summit 10,2025-04-04,Venue: Tokyo,50008,198.19,Pending
27,Max Planck - Campus 27,1966-07-31,1012,Dr. M12 Smith,Specialization: AI,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50009,144.95,Cancelled
14,CERN - Campus 14,1884-02-29,1038,Dr. M38 Smith,Specialization: Physics,522,International Global Health Summit 22,2026-09-09,Venue: Tokyo,50010,92.91,Confirmed
43,Stanford - Campus 43,1896-11-23,1016,Dr. Q16 Smith,Specialization: Physics,517,International Global Health Summit 17,2025-02-23,Venue: Online,50011,387.1,Cancelled
27,Max Planck - Campus 27,1966-07-31,1014,Dr. O14 Smith,Specialization: Physics,543,International Climate Change Summit 43,2025-02-14,Venue: Berlin,50012,164.22,Pending
46,Oxford - Campus 46,1853-06-30,1018,Dr. S18 Smith,Specialization: Physics,507,International Climate Change Summit 7,2026-03-06,Venue: Lisbon,50013,104.94,Cancelled
40,Max Planck - Campus 40,1937-11-18,1021,Dr. V21 Smith,Specialization: AI,529,International Climate Change Summit 29,2026-03-04,Venue: Berlin,50014,119.09,Confirmed
19,Stanford - Campus 19,1863-02-04,1045,Dr. T45 Smith,Specialization: AI,512,International Climate Change Summit 12,2025-02-06,Venue: Berlin,50015,378.48,Confirmed
46,Oxford - Campus 46,1853-06-30,1018,Dr. S18 Smith,Specialization: Physics,527,International Future of Tech Summit 27,2025-07-24,Venue: Tokyo,50016,84.57,Cancelled
3,Stanford - Campus 3,1932-11-13,1027,Dr. B27 Smith,Specialization: Ethics,522,International Global Health Summit 22,2026-09-09,Venue: Tokyo,50017,273.28,Confirmed
5,Oxford - Campus 5,1890-02-18,1017,Dr. R17 Smith,Specialization: Physics,515,International Global Health Summit 15,2025-10-03,Venue: Lisbon,50018,70.01,Pending
15,IST Lisbon - Campus 15,1907-11-17,1047,Dr. V47 Smith,Specialization: AI,532,International Climate Change Summit 32,2025-07-14,Venue: Tokyo,50019,72.39,Pending
